authors,title
Iain Banks,The Wasp Factory
Marisha Pessl,Night Film
Rob Lowe,Stories I Only Tell My Friends
Kevin Kwan,Crazy Rich Asians (Crazy Rich Asians #1)
Libba Bray,"Rebel Angels (Gemma Doyle, #2)"
Karen Marie Moning,"Bloodfever (Fever, #2)"
Karen Marie Moning,"Faefever (Fever, #3)"
Robert Dugoni,My Sister's Grave (Tracy Crosswhite #1)
Ransom Riggs,"Library of Souls (Miss Peregrine's Peculiar Children, #3)"
E.M. Forster,Howards End
"Mike Mignola, John Byrne","Hellboy, Vol. 1: Seed of Destruction (Hellboy, #1)"
Michelle Hodkin,"The Evolution of Mara Dyer (Mara Dyer, #2)"
Rick Riordan,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)"
"Alexandre Dumas, Francine du Plessix Gray, Joachim Neugroschel","The Man in the Iron Mask (The D'Artagnan Romances, #3.3)"
"Shirley Jackson, Laura   Miller",The Haunting of Hill House
Hunter S. Thompson,The Rum Diary
"Laura Ingalls Wilder, Garth Williams","Little Town on the Prairie  (Little House, #7)"
Dodie Smith,I Capture the Castle
"P.C. Cast, Kristin Cast","Destined (House of Night, #9)"
Janet Evanovich,"Finger Lickin' Fifteen (Stephanie Plum, #15)"
Charles Bukowski,Women
John Jakes,"North and South (North and South, #1)"
Patricia Briggs,"Silver Borne (Mercy Thompson, #5)"
Robert Ludlum,"The Bourne Ultimatum (Jason Bourne, #3)"
Robin Hobb,"Fool's Errand (Tawny Man, #1)"
Marie Lu,"The Young Elites (The Young Elites, #1)"
Nora Roberts,"Jewels of the Sun (Gallaghers of Ardmore, #1)"
"Marcus Aurelius, Martin Hammond, Diskin Clay",Meditations
"Dave Barry, Ridley Pearson, Greg Call","Peter and the Starcatchers (Peter and the Starcatchers, #1)"
Jared Diamond,Collapse: How Societies Choose to Fail or Succeed
A.S. Byatt,Possession
Melissa de la Cruz,"Revelations (Blue Bloods, #3)"
Tom Clancy,"Without Remorse (Jack Ryan Universe, #1)"
Sigmund Freud,The Interpretation of Dreams
Peter Straub,Ghost Story
"Lemony Snicket, Brett Helquist","The Penultimate Peril (A Series of Unfortunate Events, #12)"
Bill Bryson,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away
"Lemony Snicket, Brett Helquist","The End (A Series of Unfortunate Events, #13)"
Mary Karr,The Liars' Club
Charlaine Harris,"Dead Ever After (Sookie Stackhouse, #13)"
Ray Bradbury,The Illustrated Man
Raine Miller,"Naked (The Blackstone Affair, #1)"
Jeff VanderMeer,"Annihilation (Southern Reach, #1)"
Abbi Glines,"Breathe (Sea Breeze, #1)"
"Margaret Wise Brown, Clement Hurd",The Runaway Bunny
"Stephen Hawking, Leonard Mlodinow",The Grand Design
John Grisham,The Innocent Man: Murder and Injustice in a Small Town
"Richard Bachman, Stephen King",The Bachman Books
Reza Aslan,Zealot: The Life and Times of Jesus of Nazareth
Terry Goodkind,"Soul of the Fire (Sword of Truth, #5)"
"Jan-Philipp Sendker, Kevin Wiliarty",The Art of Hearing Heartbeats
Iain M. Banks,"Consider Phlebas (Culture, #1)"
David J. Schwartz,The Magic of Thinking Big
Anne Rice,"The Vampire Armand (The Vampire Chronicles, #6)"
Abbi Glines,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)"
George R.R. Martin,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)"
"Carlo Collodi, John Boyne, Monteiro Lobato, Unknown",Pinocchio
Robin LaFevers,"Grave Mercy (His Fair Assassin, #1)"
Stormie Omartian,The Power of a Praying Wife
Henry Miller,Tropic of Cancer
Wally Lamb,The Hour I First Believed
Brian Sibley,Harry Potter: Film Wizardry
"Leo Tolstoy, Aylmer Maude",The Death of Ivan Ilych
Paula McLain,Circling the Sun
John Steinbeck,Travels with Charley: In Search of America
Alice Hoffman,The Dovekeepers
Scott Lynch,"The Republic of Thieves (Gentleman Bastard, #3)"
Cornelia Funke,The Thief Lord
Susan Ee,"World After (Penryn & the End of Days, #2)"
Dean Koontz,"Brother Odd (Odd Thomas, #3)"
John Howard Griffin,Black Like Me
Chuck Palahniuk,Snuff
James Patterson,"Jack & Jill (Alex Cross, #3)"
Ian McEwan,Saturday
Jonathan Kellerman,"When the Bough Breaks (Alex Delaware, #1)"
Robert James Waller,The Bridges of Madison County
Lee Child,"Gone Tomorrow (Jack Reacher, #13)"
Michael Scott,"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)"
Hilary Mantel,"Bring Up the Bodies (Thomas Cromwell, #2)"
Rick Riordan,"The Maze of Bones  (The 39 Clues, #1)"
Mark Bittman,How to Cook Everything: Simple Recipes for Great Food
Stephenie Meyer,"The Twilight Collection (Twilight, #1-3)"
Wassily Kandinsky,Concerning the Spiritual in Art
Winston Groom,"Forrest Gump (Forrest Gump, #1)"
"Albert Camus, Justin O'Brien",The Fall
Tom Robbins,Even Cowgirls Get the Blues
"Wilkie Collins, Carolyn G. Heilbrun",The Moonstone
"Italo Calvino, William Weaver",If on a Winter's Night a Traveler
"Gregory Maguire, Douglas Smith","Son of a Witch (The Wicked Years, #2)"
Ian McEwan,On Chesil Beach
Sue Grafton,"M is for Malice (Kinsey Millhone, #13)"
Patricia Cornwell,"Point of Origin (Kay Scarpetta, #9)"
Patricia MacLachlan,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)"
يوسف زيدان,عزازيل
Christopher Moore,"Bloodsucking Fiends (A Love Story, #1)"
"David Sedaris, Ian Falconer",Squirrel Seeks Chipmunk: A Modest Bestiary
Brené Brown,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are
Ann Patchett,Commonwealth
Melissa de la Cruz,"The Van Alen Legacy (Blue Bloods, #4)"
Robert McCloskey,Blueberries for Sal
Colleen Hoover,"Losing Hope (Hopeless, #2)"
Stephen King,Lisey's Story
Eben Alexander,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife
Terry Pratchett,"Men at Arms (Discworld, #15; City Watch #2)"
A.J. Jacobs,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible
Frank Herbert,God Emperor of Dune (Dune Chronicles #4)
Emily Giffin,The One & Only
Jean M. Auel,"The Valley of Horses (Earth's Children, #2)"
Harlan Coben,Six Years
Beverly Cleary,"Ramona the Pest (Ramona, #2)"
L.J. Smith,"Night World, No. 2 (Night World, #4-6)"
Katherine Dunn,Geek Love
"Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald","The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)"
Robert Penn Warren,All the King's Men
Ann Brashares,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)"
Harlan Coben,The Woods
Robert Jordan,"New Spring (Wheel of Time, #0)"
John Grisham,The Litigators
"Fredrik Backman, Henning Koch",My Grandmother Asked Me to Tell You She's Sorry
Vince Flynn,"American Assassin (Mitch Rapp, #1)"
Brené Brown,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead"
Hannah Kent,Burial Rites
Sarah Waters,Fingersmith
Peter Mayle,A Year in Provence
"Kate DiCamillo, Bagram Ibatoulline",The Miraculous Journey of Edward Tulane
Jojo Moyes,The Last Letter from Your Lover
Martin Cruz Smith,"Gorky Park (Arkady Renko, #1)"
Tara Conklin,The House Girl
Karen Hesse,Out of the Dust
Meg Cabot,"Queen of Babble (Queen of Babble, #1)"
Jeff Kinney,"The Third Wheel (Diary of a Wimpy Kid, #7)"
Elizabeth Wein,"Code Name Verity (Code Name Verity, #1)"
Ellen Hopkins,"Burned (Burned, #1)"
Sidney Sheldon,Master of the Game
Patricia Cornwell,"The Body Farm (Kay Scarpetta, #5)"
Meg Cabot,"The Boy Next Door (Boy, #1)"
"Anonymous, N.K. Sandars",The Epic of Gilgamesh
Anna Godbersen,"The Luxe (Luxe, #1)"
Beatrix Potter,The Complete Tales
Philip Roth,"American Pastoral (The American Trilogy, #1)"
Elizabeth Gilbert,Big Magic: Creative Living Beyond Fear
Jim Butcher,"Skin Game (The Dresden Files, #15)"
Anonymous,The Qur'an / القرآن الكريم
Gena Showalter,The Darkest Night (Lords of the Underworld #1)
Neal Stephenson,Anathem
Barbara Kingsolver,The Lacuna
Terry Pratchett,"Hogfather (Discworld, #20; Death, #4)"
Elizabeth Berg,Open House
Jeannette Walls,The Silver Star
John Irving,The Hotel New Hampshire
Laurell K. Hamilton,"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)"
Nora Roberts,"Key of Light (Key Trilogy, #1)"
Ellen Hopkins,Identical
"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",The Stand: Soul Survivors
"Janet Evanovich, Lorelei King","Smokin' Seventeen (Stephanie Plum, #17)"
Dr. Seuss,The Sneetches and Other Stories
"Bill Martin Jr., Eric Carle","Polar Bear, Polar Bear, What Do You Hear?"
Hermann Hesse,Demian. Die Geschichte von Emil Sinclairs Jugend
Kurt Vonnegut Jr.,"God Bless You, Mr. Rosewater"
"Yoshiki Nakamura, Tomo Kimura","Skip Beat!, Vol. 01"
Frank Miller,Batman: The Dark Knight Returns #1
"J.K. Rowling, Mary GrandPré","The Harry Potter Collection 1-4 (Harry Potter, #1-4)"
Paolo Bacigalupi,The Windup Girl
"Oscar Wilde, Richard Allen Cave",The Importance of Being Earnest and Other Plays
Stephanie Perkins,"Isla and the Happily Ever After (Anna and the French Kiss, #3)"
Ilona Andrews,"Magic Bites (Kate Daniels, #1)"
Jodi Ellen Malpas,"This Man Confessed (This Man, #3)"
"Irène Némirovsky, Sandra Smith",Suite Française
"Vincent van Gogh, Ronald de Leeuw, Mark Roskill, Arnold J. Pomerans",The Letters of Vincent van Gogh
Terry Pratchett,"Sourcery (Discworld, #5; Rincewind #3)"
Bryan Lee O'Malley,"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World"
"Grant Morrison, Dave McKean",Batman: Arkham Asylum - A Serious House on Serious Earth
Jenny Han,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)"
David Baldacci,"Memory Man (Amos Decker, #1)"
Hillary Jordan,Mudbound
Mark Bowden,Black Hawk Down
"V.E. Schwab, Victoria Schwab","A Darker Shade of Magic (Shades of Magic, #1)"
David Grann,The Lost City of Z: A Tale of Deadly Obsession in the Amazon
Brandon Sanderson,"Firefight (The Reckoners, #2)"
Trudi Canavan,"The Magicians' Guild (Black Magician Trilogy, #1)"
Michael Scott,"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)"
Lee Child,"61 Hours (Jack Reacher, #14)"
Patricia McCormick,Cut
"Roald Dahl, Quentin Blake",George's Marvellous Medicine
Jane Smiley,A Thousand Acres
Lloyd Alexander,"The Book of Three (The Chronicles of Prydain, #1)"
Patricia Briggs,"Cry Wolf (Alpha & Omega, #1)"
Ian Falconer,Olivia
Kent Haruf,"Plainsong (Plainsong, #1)"
Daniel Clowes,Ghost World
Amanda Hocking,"Torn (Trylle, #2)"
"Ivan Turgenev, George Reavy, Jane Costlow",Fathers and Sons
"Eliyahu M. Goldratt, Jeff Cox",The Goal: A Process of Ongoing Improvement
Geraldine Brooks,Caleb's Crossing
Claudia Gray,"Evernight (Evernight, #1)"
Lee Child,"Bad Luck and Trouble (Jack Reacher, #11)"
Karen Joy Fowler,The Jane Austen Book Club
Ian McEwan,The Children Act
Janet Evanovich,"Sizzling Sixteen (Stephanie Plum, #16)"
Ashlee Vance,Elon Musk: Inventing the Future
James S.A. Corey,"Caliban's War (The Expanse, #2)"
Rebecca Donovan,"Barely Breathing (Breathing, #2)"
"Homer, Robert Fagles, Bernard Knox", Ὀδύσσεια
"Mark Waid, Alex Ross, Elliot S. Maggin",Kingdom Come
Henri Charrière,Papillon
Sarah Waters,Tipping the Velvet
"Chris Colfer, Brandon Dorman","The Wishing Spell (The Land of Stories, #1)"
David Ebershoff,The 19th Wife
Walter Dean Myers,Monster
George R.R. Martin,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)"
Patricia Cornwell,"Body of Evidence (Kay Scarpetta, #2)"
"Brian K. Vaughan, Fiona Staples",Saga #1
Sara Shepard,"Perfect (Pretty Little Liars, #3)"
Jessica Sorensen,"The Secret of Ella and Micha (The Secret, #1)"
Kevin Hearne,"Hounded (The Iron Druid Chronicles, #1)"
Stephen King,From a Buick 8
Kim Stanley Robinson,"Red Mars (Mars Trilogy, #1)"
"Charlotte Perkins Gilman, Elaine Hedges",The Yellow Wall-Paper
"H.G. Wells, Alfred MacAdam",The Time Machine/The Invisible Man
Nora Roberts,"Sea Swept (Chesapeake Bay Saga, #1)"
Brent Weeks,"The Blinding Knife (Lightbringer, #2)"
Morgan Matson,Since You've Been Gone
Steve Martin,An Object of Beauty
"Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway",What to Expect When You're Expecting
John Flanagan,"The Icebound Land (Ranger's Apprentice, #3)"
Marian Keyes,"Anybody Out There? (Walsh Family, #4)"
"Peter Thiel, Blake  Masters","Zero to One: Notes on Startups, or How to Build the Future"
Sarah J. Maas,"Empire of Storms (Throne of Glass, #5)"
"Charles Dickens, Katharine Kroeber Wiley","A Christmas Carol, The Chimes and The Cricket on the Hearth"
Gillian Flynn,The Grownup
Neil Gaiman,Smoke and Mirrors: Short Fiction and Illusions
Amish Tripathi,"The Oath of the Vayuputras (Shiva Trilogy, #3)"
Kurt Vonnegut Jr.,Welcome to the Monkey House
Jim Gaffigan,Dad Is Fat
David McCullough,Truman
Ron Chernow,Alexander Hamilton
"Dr. Seuss, Various",The Cat in the Hat and Other Dr. Seuss Favorites
"Nikolai Gogol, Robert A. Maguire",Dead Souls
Elle Kennedy,"The Deal (Off-Campus, #1)"
Kiera Cass,"The Crown (The Selection, #5)"
David Baldacci,"Zero Day (John Puller, #1)"
"Arlene Mosel, Blair Lent",Tikki Tikki Tembo
L.J. Smith,"Night World, No. 1 (Night World, #1-3)"
Tina Reber,"Love Unscripted (Love, #1)"
James Patterson,"Pop Goes the Weasel (Alex Cross, #5)"
Penelope Douglas,"Bully (Fall Away, #1)"
Alison Weir,The Six Wives of Henry VIII
"Yevgeny Zamyatin, Clarence Brown",We
Barbara Kingsolver,Pigs in Heaven
John Scalzi,"The Ghost Brigades (Old Man's War, #2)"
Alan Paton,"Cry, the Beloved Country"
"Brian Froud, Alan Lee",Faeries
Gregory Maguire,Confessions of an Ugly Stepsister
Nick Hornby,How to Be Good
Cassandra Clare,"Lady Midnight (The Dark Artifices, #1)"
Cornelia Funke,"Inkdeath (Inkworld, #3)"
Isaac Asimov,Foundation's Edge (Foundation #4)
Thomas Hardy,Jude the Obscure
David Eddings,"Queen of Sorcery (The Belgariad, #2)"
Shirley Jackson,The Lottery and Other Stories
Margaret Peterson Haddix,"Into the Gauntlet (The 39 Clues, #10)"
Aprilynne Pike,"Wings (Wings, #1)"
Cecily von Ziegesar,"Gossip Girl (Gossip Girl, #1)"
Frederick Forsyth,The Odessa File
Elizabeth Strout,The Burgess Boys
Yuval Noah Harari,Sapiens: A Brief History of Humankind
"Chelsea Handler, Johnny Kansas, Stephanie Stehling, Heather McDonald, Roy Handler, Brad Wollack, Amber Mazzola, Josh Wolf, Shoshanna Handler, Eva Magdalenski, Amy Meyer, Glen Handler, Dave Mallow, Sarah Colonna",Lies That Chelsea Handler Told Me
Tana French,"Broken Harbour (Dublin Murder Squad, #4)"
M. Leighton,"Down to You (The Bad Boys, #1)"
William Shakespeare,The Complete Works
Ursula K. Le Guin,The Dispossessed
"Henning Mankell, Steven T. Murray","Faceless Killers (Kurt Wallander, #1)"
John Grisham,The Confession
Dean Koontz,Lightning
"James Patterson, Keith David, Anthony Heald","Cat and Mouse (Alex Cross, #4)"
Judy Blume,"Superfudge (Fudge, #3)"
Shari Lapena,The Couple Next Door
Cynthia Hand,"Hallowed (Unearthly, #2)"
Ann Leckie,Ancillary Justice (Imperial Radch #1)
Terry Goodkind,"The Pillars of Creation (Sword of Truth, #7)"
"James C. Collins, Jerry I. Porras",Built to Last: Successful Habits of Visionary Companies
Allen Eskens,The Life We Bury
Eric Wilson,Fireproof
Jack Higgins,"The Eagle Has Landed (Liam Devlin, #1)"
Laurell K. Hamilton,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)"
David Wong,"John Dies at the End (John Dies at the End, #1)"
"Carl Sagan, Ann Druyan",The Demon-Haunted World: Science as a Candle in the Dark
Lucy Christopher,Stolen: A Letter to My Captor
Stanisław Lem,Solaris
Elizabeth Wurtzel,Prozac Nation
Lloyd Alexander,The Black Cauldron (The Chronicles of Prydain #2)
Daniel J. Levitin,This Is Your Brain on Music: The Science of a Human Obsession
Mitch Albom,The First Phone Call from Heaven
Augusten Burroughs,Possible Side Effects
Anna Quindlen,Still Life with Bread Crumbs
Agatha Christie,"The A.B.C. Murders (Hercule Poirot, #13)"
Anonymous,Holy Bible: New International Version
J.R. Ward,"Lover Reborn (Black Dagger Brotherhood, #10)"
Julia Quinn,"The Duke and I (Bridgertons, #1)"
"Margaret Weis, Tracy Hickman","Dragons of Spring Dawning (Dragonlance: Chronicles, #3)"
Lorraine Hansberry,A Raisin in the Sun
Richard K. Morgan,"Altered Carbon (Takeshi Kovacs, #1)"
Tom Clancy,"The Sum of All Fears (Jack Ryan Universe, #7)"
A.J. Banner,The Good Neighbor
"Brian K. Vaughan, Fiona Staples","Saga, Vol. 2 (Saga, #2)"
Lee Child,"The Enemy (Jack Reacher, #8)"
Michael   Lewis,Flash Boys: A Wall Street Revolt
"Jean-Dominique Bauby, Jeremy Leggatt",The Diving Bell and the Butterfly
"Bill O'Reilly, Martin Dugard",Killing Kennedy: The End of Camelot
John Grisham,Rogue Lawyer
Bill Bryson,The Life and Times of the Thunderbolt Kid
Chevy Stevens,Still Missing
Frank McCourt,"'Tis (Frank McCourt, #2)"
Charles C. Mann,1491: New Revelations of the Americas Before Columbus
Marissa Meyer,"Fairest (The Lunar Chronicles, #3.5)"
Kay Redfield Jamison,An Unquiet Mind: A Memoir of Moods and Madness
Sarah  Young,Jesus Calling: Enjoying Peace in His Presence
Edward Albee,Who's Afraid of Virginia Woolf?
Andrzej Sapkowski,"The Last Wish (The Witcher, #1)"
"Umberto Eco, William Weaver",Foucault's Pendulum
Don Freeman,A Pocket for Corduroy
"James Patterson, Maxine Paetro","The 5th Horseman (Women's Murder Club, #5)"
Jacqueline Carey,"Kushiel's Dart (Phèdre's Trilogy, #1)"
Eric Metaxas,"Bonhoeffer: Pastor, Martyr, Prophet, Spy"
Janet Evanovich,"Explosive Eighteen (Stephanie Plum, #18)"
Michael  Grant,"Lies (Gone, #3)"
A.W. Tozer,The Pursuit of God
Julie Kagawa,"The Iron Knight (The Iron Fey, #4)"
Jacqueline Winspear,"Maisie Dobbs (Maisie Dobbs, #1)"
Raymond E. Feist,"Magician (The Riftwar Saga, #1-2)"
Ann Brashares,"Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood, #4)"
Terry Pratchett,"Feet of Clay (Discworld, #19; City Watch, #3)"
"Stieg Larsson, Reg Keeland","The Millennium Trilogy (Millennium Trilogy, #1-3)"
Dot Hutchison,The Butterfly Garden (The Collector #1)
Tom Robbins,Skinny Legs and All
Jeaniene Frost,"Destined for an Early Grave (Night Huntress, #4)"
R.K. Lilley,"In Flight (Up in the Air, #1)"
James Patterson,"Cross (Alex Cross, #12)"
Meg Cabot,"All-American Girl (All-American Girl, #1)"
Bill Bryson,Neither Here nor There: Travels in Europe
David Levithan,Boy Meets Boy
Wally Lamb,We Are Water
James Patterson,"Max (Maximum Ride, #5)"
Alexandra Adornetto,"Halo (Halo, #1)"
Kiran Desai,The Inheritance of Loss
Raymond E. Feist,"A Darkness At Sethanon (The Riftwar Saga, #4)"
"Johann Wolfgang von Goethe, Burton Pike",The Sorrows of Young Werther
Jeaniene Frost,"At Grave's End (Night Huntress, #3)"
Alexandra Fuller,Don't Let's Go to the Dogs Tonight
Robin McKinley,Beauty: A Retelling of the Story of Beauty and the Beast
Jonathan Safran Foer,Eating Animals
"Angie Sage, Mark Zug","Flyte (Septimus Heap, #2)"
"سعود السنعوسي, Saud Alsanousi",ساق البامبو
Rae Carson,"The Girl of Fire and Thorns (Fire and Thorns, #1)"
Ann Aguirre,"Enclave (Razorland, #1)"
"Dava Sobel, Neil Armstrong",Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time
Patricia Cornwell,"Unnatural Exposure (Kay Scarpetta, #8)"
"Johann Wolfgang von Goethe, Peter Salm",Faust: First Part
James W. Loewen,Lies My Teacher Told Me
Robin Hobb,"Fool's Fate (Tawny Man, #3)"
"Joe Hill, Gabriel Rodríguez","Locke & Key, Vol. 1: Welcome to Lovecraft"
Patrick Ness,"The Ask and the Answer (Chaos Walking, #2)"
Alexandra Ripley,Scarlett
Laurell K. Hamilton,"Bloody Bones (Anita Blake, Vampire Hunter #5)"
F. Scott Fitzgerald,This Side of Paradise
Blaine Harden,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West
Kim Harrison,"Every Which Way But Dead (The Hollows, #3)"
Curtis Sittenfeld,"Eligible: A Modern Retelling of Pride and Prejudice (The Austen Project, #4)"
Sarah Thornton,Seven Days in the Art World
"J.R.R. Tolkien, Christopher Tolkien, Alan Lee",The Children of Húrin
Dave Ramsey,The Total Money Makeover: A Proven Plan for Financial Fitness
"Richard Atwater, Florence Atwater, Robert Lawson",Mr. Popper's Penguins
Orson Scott Card,"Shadow Puppets (Ender's Shadow, #3)"
Lev Grossman,"The Magician's Land (The Magicians, #3)"
William Faulkner,Light in August
"E.B. White, Fred Marcellino",The Trumpet of the Swan
George Saunders,Tenth of December
Sherrilyn Kenyon,"Night Pleasures (Dark-Hunter, #1)"
"Thomas J. Stanley, William D. Danko",The Millionaire Next Door: The Surprising Secrets of Americas Wealthy
Ally Carter,"Don't Judge a Girl by Her Cover (Gallagher Girls, #3)"
Bob Dylan,"Chronicles, Vol. 1"
Bill Bryson,The Lost Continent: Travels in Small Town America
Lisa See,Dreams of Joy (Shanghai Girls #2)
Sidney Sheldon,Tell Me Your Dreams
"Laura Ingalls Wilder, Garth Williams","By the Shores of Silver Lake  (Little House, #5)"
Iain M. Banks,"The Player of Games (Culture, #2)"
"George Selden, Garth Williams",The Cricket in Times Square
Patrick Lencioni,The Five Dysfunctions of a Team: A Leadership Fable
"William S. Burroughs, Oliver  Harris, Allen Ginsberg",Junky
"Roger Fisher, William Ury, Bruce Patton",Getting to Yes: Negotiating an Agreement Without Giving In
R.K. Lilley,"Mile High (Up in the Air, #2)"
Colleen Hoover,November 9
Kerry Lonsdale,"Everything We Keep (Everything We Keep, #1)"
Samantha Towle,"The Mighty Storm (The Storm, #1)"
Madeline Miller,The Song of Achilles
Amy Schumer,The Girl with the Lower Back Tattoo
"Krishna-Dwaipayana Vyasa, Simon Brodbeck, Juan Mascaró",The Bhagavad Gita
"Paul Auster, Art Spiegelman",The New York Trilogy
Pam Muñoz Ryan,Esperanza Rising
J.D. Salinger,"Raise High the Roof Beam, Carpenters & Seymour: An Introduction"
Candace Bushnell,Sex and the City
Laurell K. Hamilton,"The Killing Dance (Anita Blake, Vampire Hunter, #6)"
"Friedrich Nietzsche, R.J. Hollingdale, Michael Tanner",Beyond Good and Evil
Christopher Paul Curtis,The Watsons Go to Birmingham - 1963
Charles Bukowski,Factotum
Julie Kagawa,"The Immortal Rules (Blood of Eden, #1)"
Dave Cullen,Columbine
Anne Rice,"Lasher (Lives of the Mayfair Witches, #2)"
Laila Ibrahim,Yellow Crocus
"Mark Owen, Kevin Maurer",No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden
Laura Moriarty,The Chaperone
Patricia Cornwell,"All That Remains (Kay Scarpetta, #3)"
"Richard Bachman, Stephen King",The Regulators
"Neil Gaiman, Matt Wagner, George Pratt, Dick Giordano, Kelley Jones, P. Craig Russell, Mike Dringenberg, Malcolm Jones III, Todd Klein, Harlan Ellison",Season of Mists (The Sandman #4)
"James Patterson, Andrew Gross",Judge & Jury
George Eliot,Silas Marner
Jennifer L. Armentrout,"Origin (Lux, #4)"
Michael Pollan,The Botany of Desire: A Plant's-Eye View of the World
"Kami Garcia, Margaret Stohl","Beautiful Redemption (Caster Chronicles, #4)"
Kate Morton,The Distant Hours
Clare Mackintosh,I Let You Go
Robert Louis Stevenson,"Kidnapped (David Balfour, #1)"
H.G. Bissinger,"Friday Night Lights: A Town, a Team, and a Dream"
David Sheff,Beautiful Boy: A Father's Journey Through His Son's Addiction
Abbi Glines,"The Vincent Boys (The Vincent Boys, #1)"
Edgar Allan Poe,The Cask of Amontillado
"Ovid, David Raeburn, Denis Feeney",Metamorphoses
Julia Alvarez,In the Time of the Butterflies
Robert Morgan,Gap Creek
Jennifer L. Armentrout,"Half-Blood (Covenant, #1)"
"Bo Hampton, Tracey Hampton, Washington Irving",The Legend of Sleepy Hollow (Graphic Novel)
Jen Lancaster,"Bitter Is the New Black: Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office"
Nora Roberts,The Witness
Karin Slaughter,"Blindsighted (Grant County, #1)"
Wallace Stegner,Angle of Repose
John le Carré,"Tinker, Tailor, Soldier, Spy"
Brian Jacques,"Lord Brocktree (Redwall, #13)"
Veronica Rossi,"Through the Ever Night (Under the Never Sky, #2)"
Elin Hilderbrand,Barefoot
James Frey,My Friend Leonard
Tennessee Williams,Cat on a Hot Tin Roof
James Patterson,"The Final Warning (Maximum Ride, #4)"
Robin Hobb,"Golden Fool (Tawny Man, #2)"
David Baldacci,"Split Second (Sean King & Michelle Maxwell, #1)"
Michael Connelly,"The Fifth Witness (Mickey Haller, #5; Harry Bosch Universe, #20)"
Tad Williams,"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)"
Marjane Satrapi,"Persepolis, Volume 1"
Jan Karon,"At Home in Mitford (Mitford Years, #1)"
Tony Hsieh,"Delivering Happiness: A Path to Profits, Passion, and Purpose"
Anthony Horowitz,"Scorpia (Alex Rider, #5)"
Erika Johansen,"The Queen of the Tearling (The Queen of the Tearling, #1)"
Gordon Korman,"One False Note (The 39 Clues, #2)"
Holly Black,"Tithe (Modern Faerie Tales, #1)"
Lee Child,"Echo Burning (Jack Reacher, #5)"
L.J. Smith,"The Fury / Dark Reunion (The Vampire Diaries, #3-4)"
"Colleen Hoover, Tarryn Fisher","Never Never (Never Never, #1)"
Elizabeth Haynes,Into the Darkest Corner
"Richard Lancelyn Green, Ronald Knox, Julian Symons, Various",The Further Adventures of Sherlock Holmes: After Sir Arthur Conan Doyle (Classic Crime)
James Patterson,"Roses are Red (Alex Cross, #6)"
Terry Goodkind,"Naked Empire (Sword of Truth, #8)"
James Rollins,"Map of Bones (Sigma Force, #2)"
Harlan Coben,The Stranger
Sara Shepard,"Unbelievable (Pretty Little Liars, #4)"
"E.M. Forster, Oliver Stallybrass, Pankaj Mishra",A Passage to India
Rachel Hartman,"Seraphina (Seraphina, #1)"
Nora Roberts,"Morrigan's Cross (Circle Trilogy, #1)"
Jean M. Auel,"The Mammoth Hunters (Earth's Children, #3)"
Jim Butcher,"Princeps' Fury (Codex Alera, #5)"
Erich Segal,"Love Story (Love Story, #1)"
Kevin Henkes,Chrysanthemum
Wendy Higgins,"Sweet Evil (Sweet, #1)"
Herman Wouk,"The Winds of War (The Henry Family, #1)"
"Stephen King, Jae Lee","The Wind Through the Keyhole (The Dark Tower, #4.5)"
Bernard Cornwell,"The Last Kingdom (The Saxon Stories, #1)"
Michael E. Gerber,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It
"James Howe, Deborah Howe, Alan Daniel","Bunnicula (Bunnicula, #1)"
